class,0,1,2,3,4,5,6,7,8,9,10
Violin,0.11300880778579912,0.11923040538152316,0.13374236190340416,0.07058415679862357,1.0,0.5884018428653558,0.38253576267619277,0.4733946356368817,0.038034866309196155,0.0020814275850153914,0.0008875873729404313
Violin,0.05196605811198508,0.03161027958301783,0.05210862459717212,0.06310231424100962,1.0,0.5295871830432778,0.4266958672741149,0.4293174103268682,0.03177058657437564,0.0029106484427239474,0.001080606370906798
Violin,0.03387668998844687,0.029013972046659623,0.03511985473877436,0.04905201413123437,1.0,0.537450204959547,0.40322510229015224,0.3734676335240604,0.054426795905791976,0.0022991082091814055,0.0010174703675095615
Violin,0.055397905067069285,0.043716277206728965,0.06060907544958192,0.0634166027881972,1.0,0.615953585111913,0.5392275371000124,0.33394266753636603,0.07436411712915081,0.002898058934347211,0.0011190609513244377
Violin,0.02234536055824455,0.020252111962675626,0.037687972423344804,0.05364909421782407,0.9999999999999994,0.5680110006048585,0.463543339734935,0.34844588800647885,0.0716355556622907,0.003740230857858559,0.0010049489001532621
Violin,0.05967117918939834,0.027533293224959014,0.031962529711623854,0.054796338539091036,1.0,0.5883038473747141,0.4273002155487393,0.392502390777102,0.07363012297684109,0.0038495889943412354,0.0011956442478191314
Violin,0.05037924736881132,0.0601740837297467,0.042931118261079405,0.056848947226576525,0.9999999999999998,0.5447107134521031,0.3895018077607205,0.39339504971483563,0.05530096732562864,0.0032824181059032797,0.0012243023725669118
Violin,0.11762028379056694,0.120367383963714,0.07949045448781165,0.07046738078048555,1.0,0.6142757634304432,0.45220987087805325,0.48883693787457405,0.032564210019545056,0.003137494593843973,0.001020323402358095
Violin,0.039060784003567856,0.04958621672352021,0.052318482076597214,0.05275789524655428,1.0,0.5185366442771131,0.4653694707207139,0.39609423671146526,0.039529605404236626,0.002104600124990698,0.000693971524971368
Violin,0.019407706639261193,0.022107782932993494,0.04930859671224005,0.05995662102956973,1.0,0.559260388674247,0.43336729359919346,0.35114902999732045,0.06481557609545056,0.0017549303416144277,0.0007370980588108122
Violin,0.0377100450499541,0.050948173082222804,0.07091399549297958,0.07317650936935556,1.0,0.5727054938243464,0.4849068533970626,0.35875364894764133,0.08182130234803492,0.004401537517807975,0.0007339147145649458
Violin,0.04201066664233052,0.04323400584608689,0.05211316118886873,0.07187995098609744,0.9999999999999997,0.5777295519872537,0.44988229764724424,0.3873940911999413,0.07045521842902609,0.003515731947804084,0.000651187586621494
Violin,0.0548400814372385,0.06475952396947524,0.05862684355079095,0.063371846355643,1.0,0.5698386169962024,0.4338404719479987,0.38593815915222246,0.07151669185324322,0.004061640147007418,0.0008619771266850899
Violin,0.04700239023348624,0.0357803386538206,0.04095868734573132,0.05987569594390028,0.9999999999999998,0.5739902930769998,0.4079959175745289,0.38253283244120545,0.04938221059103494,0.0024927669990124452,0.000984996851488761
Violin,0.07491464273897605,0.06429422378632478,0.06448390709395509,0.057989813599659004,1.0,0.5715356693219572,0.3952772783171974,0.4522845579238569,0.03616971806914562,0.0023049095500764006,0.000576423669507774
Violin,0.03602116921457154,0.04961761979036382,0.04466398154473706,0.053066909041553624,1.0,0.5270457197115954,0.3906935083519823,0.3983458437969926,0.037311124258093076,0.002555286568629699,0.0008908956014634081
Violin,0.06534862770676636,0.02609378691433346,0.036139598934160834,0.05752626610977304,1.0,0.6087018348753276,0.5181474943501672,0.3350539758099497,0.07288769431752996,0.0027208680009132348,0.001270914728258142
Violin,0.02406874901177589,0.021129390510616106,0.04276908156437811,0.05285392948589782,1.0,0.5914225180381817,0.4957717323516474,0.34914754645242574,0.07136114834918843,0.004283558561865743,0.001060050718544744
Violin,0.03383899725522896,0.028576657330633668,0.028491148831278693,0.053760157955602315,0.9999999999999997,0.5845492381321354,0.4432325273421019,0.3829340517916008,0.07201121632901727,0.003302941812533698,0.0011053314324962725
